Location,1BHK,2BHK,3BHK
Hennur,15285566.771805588,16418705.479332114,17170795.82375354
KPC Layout,15303946.201785352,16449922.29107933,16699881.187003857
R.K. Hegde Nagar,15363321.870109374,16482268.504971415,16744225.55133091
Kannamangala,15374045.410805218,16311619.000184176,16705781.969651993
Yerthiganahalli,15324514.660665497,16582353.273689922,16658983.243020898
Badamanavarthekaval,15082721.687882856,16322020.539390767,17048323.56463713
Kanakapura,15374045.410805218,16304721.76597934,16705781.969651993
Bannerughatta,15188790.841050997,16355540.539640736,17094020.081345268
BTM Layout,15057117.631806195,16314487.875846062,17048323.56463713
Kuvempu Layout on Hennur Main Road,15358872.468478994,16503324.596203232,16751331.755542474
Marathahalli,15322209.418432416,16450228.867016075,16754796.308682
Rajajinagar,15354956.216211481,16508590.243088644,16755758.734281855
Whitefield,15324514.660665497,16467954.201793483,16658983.243020898
RMV,15363321.870109374,16498302.679791749,16744225.55133091
Bileshivale,15150369.186882725,16265801.245805051,17117654.820730656
Nagawara,15345086.610370677,16443040.46253017,16754796.308682
HSR Layout,15282953.124164244,16441931.537235277,17170795.82375354
Anjanapura Township,15185730.87574104,16297511.684024895,17048323.56463713
Hurulichikanahalli,15322511.705305252,16457737.485871932,16900804.62721933
Devarachikkana Halli,15205063.082370453,16254433.541256696,17162020.55025121
Sampangiram Nagar,15324933.180994362,16511200.813090311,16748239.240689905
Armane Nagar,15011826.25156752,16297511.684024895,17048323.56463713
Basavanagudi,15164924.12708974,16379795.082193261,17094020.081345268
Yeshwantpur,15324514.660665497,16582353.273689922,16658983.243020898
Battarahalli,15164924.12708974,16387515.012543904,17094020.081345268
K C Krishna Reddy Layout,15291675.371214148,16450663.370800864,16699881.187003857
Adugodi,15207693.149164181,16239642.102922162,17048323.56463713
Kammanahalli,15374045.410805218,16304721.76597934,16705781.969651993
Kalyan Nagar,15373536.872311523,16306058.854904067,16705781.969651993
Kudlu Gate,15359455.157560231,16497430.974477265,16756572.598553738
Kodipalya,15368239.381208498,16458803.161555469,16754463.649261357
Kaggadasapura,15373536.872311523,16314089.552252678,16705781.969651993
Malleswaram,15323751.590472981,16491035.347138656,16754796.308682
Akshayanagar,15207693.149164181,16239642.102922162,17048323.56463713
Kammmanhalli,15374045.410805218,16304721.76597934,16705781.969651993
Lingarajapuram,15325598.567861004,16474079.659167562,16751331.755542474
Indira Nagar,15329121.797009006,16460886.782271473,16900804.62721933
Nagasandra,15343610.69487973,16407853.702525798,16754796.308682
Kaval Byrasandra,15368566.758128615,16373109.06299439,16754463.649261357
Sanjay Nagar,15326189.19194035,16511200.813090311,16748239.240689905
Sanjeevini Nagar,15326189.19194035,16511200.813090311,16748239.240689905
Cooke Town,15223327.040363759,16248256.627376858,17146087.164012335
Frazer Town,15153437.724380242,16452079.614769422,17170795.82375354
Vasanth Nagar,15324469.220795037,16478788.90969842,16656732.353699904
NRI Layout,15343610.69487973,16441454.742322378,16754796.308682
Dasarahalli,15219277.717478843,16227232.372887257,17162020.55025121
Kalkere,15373536.872311523,16306058.854904067,16705781.969651993
Kartik Nagar,15391979.843587616,16311619.000184176,16752354.699968975
Sarjapur Road Till Wipro,15339691.52917723,16503035.25114819,16748239.240689905
hebbal kempapura,15324514.660665497,16582353.273689922,16658983.243020898
Cox Town,15219277.717478843,16227232.372887257,17162020.55025121
Bendre Nagar,15164924.12708974,16465656.015974397,17120599.037124224
Hosakerehalli,15300627.105994027,16441068.479742555,16920451.85397031
Byrathi,15193046.060704678,16244246.08430213,17119340.72753435
Narayanapura,15346336.748198627,16457658.481666453,16757082.137792941
Chamrajpet,15175475.159148285,16234326.550660565,17119340.72753435
Kodihalli on Old Airport Road,15379368.539201198,16458803.161555469,16754463.649261357
Nandini Layout,15345086.610370677,16443040.46253017,16754796.308682
Ullal Uppanagar,15323493.566233838,16501291.201926352,16656732.353699904
Doddaballapur,15205557.556473771,16211987.375546841,17162957.80826526
Murugesh Palya,15339424.526317503,16441454.742322378,16754796.308682
Annapurneshwari Nagar,15185730.87574104,16297511.684024895,17048323.56463713
Lingadheeranahalli,15350026.150958605,16474079.659167562,16751331.755542474
Chandra Layout Extension,15163363.9082079,16224464.15894985,17124027.017604604
BTM Layout 2nd Stage,15057117.631806195,16314487.875846062,17048323.56463713
8th Phase JP Nagar,15224896.776784582,16239642.102922162,17048323.56463713
Dodda Banaswadi,15205557.556473771,16211987.375546841,17162957.80826526
Sidedahalli,15339500.351622317,16481321.073471548,16707583.521237545
Hallehalli,15282953.124164244,16441931.537235277,17170795.82375354
HBR Layout,15148189.03082847,16441931.537235277,17170795.82375354
Rajarajeshwari nagar,15360073.186160084,16508590.243088644,16755758.734281855
Uttarahalli Main Road,15316494.21752605,16498147.698731018,16656732.353699904
Poornapragna Housing Society Layout,15362446.497708026,16482268.504971415,16744225.55133091
5th Stage Raja Rajeshwari Nagar,15218263.455829775,16239642.102922162,17048323.56463713
RR Nagar Main Road,15354428.35870306,16508120.118089963,16755758.734281855
DrVishnuvardhan Road,15166110.775079094,16230714.298538214,17162957.80826526
Bharath Housing Society Layout,15148383.60612431,16265031.594542954,17117654.820730656
Hennur Main Road,15285566.771805588,16413192.00544104,17170795.82375354
JP Nagar Phase 5,15307604.139039095,16476327.09012645,16977656.921845686
5th Phase,15218263.455829775,16239642.102922162,17048323.56463713
Kadugondanahalli,15357807.493576048,16357798.93643802,16698509.689537292
Hosa Road Junction,15289271.502956443,16437855.209047744,16920451.85397031
AGS Layout Arehalli,15219761.646922812,16239642.102922162,17048323.56463713
Hosur Main Road,15315899.881119015,16449825.229638627,16908323.792601116
Uttarahalli Road,15324469.220795037,16478788.90969842,16656732.353699904
Poornaprajna Layout,15362446.497708026,16482268.504971415,16744225.55133091
Poorna Pragna Layout,15362446.497708026,16482268.504971415,16744225.55133091
Banashankari 5th stage,15136440.261266831,16333031.378764965,17048323.56463713
Channasandra Layout,15216354.816297213,16184921.417972997,17124027.017604604
JP Nagar 8th Phase,15307604.139039095,16475326.77369826,17000337.94854834
